Time,Day,Hour,Min,10->11, Event, Episode No, Duration, Lane Volume(vphpl),Speed (mph),Density (vphpl), CumuFlow, TTI,,hist, Lane Volume(vphpl),Speed (mph),Density (vphpl), CumuFlow, TTI Diff, Flow Diff
335,0,5,35,,0,0,0,343.200012,59,4.56,5073.600586,110.169495,,,325.840027,59.629997,4.209667,4739.199707,0.843498,17.359985
340,0,5,40,,0,0,0,400.799988,58.599998,5.31,5474.400391,110.921501,,,357.200012,59.399998,4.677,5096.400391,1.168358,43.599976
345,0,5,45,,0,0,0,400.799988,58.700001,5.13,5875.200195,110.732536,,,385.440002,59.066662,5.103999,5481.839355,0.326408,15.359985
350,0,5,50,,0,0,0,422.399994,58.299999,5.57,6297.600098,111.492279,,,386.639923,58.656673,5.199,5868.47998,0.263054,35.760071
355,0,5,55,,0,0,0,429.600006,57.700001,5.72,6727.200195,112.651642,,,419.440033,58.279991,5.676667,6287.919434,0.670753,10.159973
360,0,6,0,,0,0,0,583.200012,56.200001,8.18,7310.400391,115.658363,,,430.720001,57.873329,5.915,6718.640625,2.766159,152.480011
365,0,6,5,,0,0,0,482.399994,56.400002,6.39,7792.800293,115.248222,,,451.680054,57.263329,6.276333,7170.319336,1.046814,30.71994
370,0,6,10,,0,0,0,516,55.599998,7.1,8308.800781,116.906479,,,466.560028,56.539997,6.522667,7636.880371,1.255119,49.439972
375,0,6,15,,0,0,0,547.200012,55.200001,7.460001,8856.000977,117.753624,,,494.160065,55.816658,6.966,8131.041016,0.620056,53.039948
380,0,6,20,,0,0,0,547.200012,53.799999,8.070001,9403.201172,120.817848,,,504.799927,54.546673,7.447333,8635.839844,0.882759,42.400085
385,0,6,25,,0,0,0,580.799988,51.400002,9.08,9984.000977,126.459137,,,542.559998,52.370007,8.456332,9178.402344,1.628395,38.23999
390,0,6,30,,0,0,0,580.799988,48.700001,9.87,10564.80078,133.47023,,,548.480042,50.630005,9.038334,9726.880859,3.795685,32.319946
395,0,6,35,,0,0,0,645.599976,47.099998,10.809999,11210.40039,138.004257,,,545.76001,48.646664,9.686666,10272.63965,2.594971,99.839966
400,0,6,40,,0,0,0,600,43.599998,11.96,11810.40039,149.082581,,,574.159973,47.183334,10.263667,10846.79981,8.719513,25.840027
405,0,6,45,,0,0,0,619.200012,43,10.93,12429.60059,151.162796,,,580,46.129993,9.907331,11426.79981,7.956467,39.200012
410,0,6,50,,0,0,0,588,45.5,8.88,13017.60059,142.857147,,,567.920044,45.363338,9.774,11994.71973,-2.533798,20.079956
415,0,6,55,,0,0,0,638.400024,46.299999,10.15,13656.00098,140.388779,,,561.839966,45.236671,9.495,12556.56055,-5.27681,76.560059
420,0,7,0,,0,0,0,544.799988,46.200001,8.81,14200.80078,140.692642,,,542.319946,45.259998,9.155666,13098.87891,-5.395157,2.480042
425,0,7,5,,0,0,0,583.200012,45.700001,9.700001,14784.00098,142.231949,,,524.799988,45.256664,8.748,13623.67871,-4.082642,58.400024
430,0,7,10,,0,0,0,633.599976,44.5,11.16,15417.60059,146.067413,,,540,44.856663,9.204667,14163.68066,-1.518997,93.599976
435,0,7,15,,0,0,0,616.799988,43.099998,11.280001,16034.40039,150.812073,,,570.320007,44.120003,9.904,14734,0.87326,46.47998
440,0,7,20,,0,0,0,573.599976,43,10.1,16608,151.162796,,,551.360046,42.989998,10.148667,15285.36035,-3.03627,22.239929
445,0,7,25,,0,0,0,621.599976,43.799999,10.360001,17229.59961,148.401825,,,575.679932,41.946667,10.785668,15861.04102,-10.0215,45.920044
450,0,7,30,,0,0,0,592.799988,41.900002,11.469999,17822.40039,155.131256,,,564.479858,40.999996,10.745332,16425.51953,-6.729813,28.320129
455,0,7,35,,0,0,0,607.200012,40.400002,12.11,18429.59961,160.891083,,,554.880005,40.296669,10.582,16980.40039,-3.795029,52.320007
460,0,7,40,,0,0,0,602.400024,40.099998,11.469999,19032,162.094772,,,555.360046,39.633339,10.641667,17535.76172,-5.06781,47.039978
465,0,7,45,,0,0,0,554.400024,41.900002,9.27,19586.40039,155.131256,,,555.279968,38.726669,11.219666,18091.04102,-16.687271,-0.879944
470,0,7,50,,0,0,0,566.400024,42.299999,9.96,20152.80078,153.664307,,,548.960022,38.169998,11.078334,18640,-21.593399,17.440002
475,0,7,55,,0,0,0,595.200012,42.799999,10.320001,20748,151.869156,,,536.880005,37.866673,11.116667,19176.87891,-26.662476,58.320007
480,0,8,0,,0,0,0,592.799988,43.700001,9.99,21340.80078,148.741409,,,554.23999,37.303333,11.64,19731.12109,-33.95871,38.559998
485,0,8,5,,0,0,0,554.400024,44.299999,9.29,21895.20117,146.726868,,,539.519958,37.166664,11.046665,20270.63867,-36.747894,14.880066
490,0,8,10,,0,0,0,554.400024,43.5,10.09,22449.60156,149.425293,,,540.960022,36.246666,11.840667,20811.59766,-39.028214,13.440002
495,0,8,15,,0,0,0,532.799988,44,9.01,22982.40234,147.72728,,,531.52002,35.993336,11.304667,21343.11914,-42.407104,1.279968
500,0,8,20,,0,0,0,580.799988,43.099998,10.8,23563.20313,150.812073,,,533.759949,35.513332,11.620666,21876.87891,-41.732819,47.040039
505,0,8,25,,0,0,0,540,42.700001,9.71,24103.20313,152.224823,,,534.080017,34.700001,12.153002,22410.95898,-45.145004,5.919983
510,0,8,30,,0,0,0,532.799988,42.200001,10.07,24636.00391,154.028427,,,520.319946,34.173332,11.588666,22931.28125,-44.837692,12.480042
515,0,8,35,,0,0,0,280.799988,40.799999,5.87,24916.80469,159.313736,,,519.919983,33.740002,11.807002,23451.19727,-42.373199,-239.119995
520,0,8,40,,0,0,0,592.799988,39.900002,11.87,25509.60547,162.907257,,,519.360046,33.883327,11.286001,23970.5625,-37.593857,73.439941
525,0,8,45,,0,0,0,511.200012,39.299999,10.27,26020.80469,165.394409,,,512.320007,33.773338,11.640334,24482.88086,-36.611694,-1.119995
530,0,8,50,,0,0,0,566.400024,38.299999,11.860001,26587.20508,169.712799,,,514.23999,33.666672,11.250667,24997.11914,-31.090332,52.160034
535,0,8,55,,0,0,0,501.600006,38.900002,9.54,27088.80469,167.095108,,,500.560028,33.903336,10.539001,25497.67969,-31.137619,1.039978
540,0,9,0,,0,0,0,549.599976,40.799999,9.6,27638.4043,159.313736,,,486.160034,34.496662,10.151334,25983.8418,-35.50531,63.439941
545,0,9,5,,0,0,0,482.399994,41,9.2,28120.80469,158.536591,,,456.560059,34.976669,9.408667,26440.40234,-33.544464,25.839935
550,0,9,10,,0,0,0,508.799988,39.799999,10.55,28629.60547,163.316589,,,486.640015,36.366665,9.701334,26927.04102,-22.45224,22.159973
555,0,9,15,,0,0,0,489.600006,38.5,10.440001,29119.20508,168.831161,,,462.9599,36.91,9.256001,27390.00586,-15.083496,26.640106
560,0,9,20,,0,0,0,439.200012,36.700001,10.29,29558.4043,177.11171,,,475.52002,36.596668,9.372,27865.52148,-6.91127,-36.320007
565,0,9,25,,0,0,0,496.799988,35.599998,11.75,30055.20508,182.584274,,,477.839996,36.633327,9.556,28343.36133,-0.635452,18.959991
570,0,9,30,,0,0,0,165.600006,37.099998,2.69,30220.80469,175.202164,,,467.919983,37.18,9.075,28811.28125,-5.692947,-302.319977
575,0,9,35,,0,0,0,516,38.799999,9.660001,30736.80469,167.525772,,,470.000031,37.513332,9.342999,29281.2793,-12.176682,45.999969
580,0,9,40,,0,0,0,456,37,10.71,31192.80469,175.675674,,,486.799988,37.246666,9.924334,29768.07422,-5.864334,-30.799988
585,0,9,45,,0,0,0,444,35.299999,10.849999,31636.80469,184.135986,,,462.959961,37.563332,9.828334,30231.04492,2.744156,-18.959961
590,0,9,50,,0,0,0,465.600006,36.5,9.56,32102.4043,178.082199,,,468.23996,37.396664,9.656666,30699.27539,-3.270416,-2.639954
595,0,9,55,,0,0,0,475.200012,40,7.69,32577.60352,162.5,,,472.720032,38.189999,9.132334,31172.00195,-15.335678,2.47998
600,0,10,0,,0,0,0,477.600006,43.799999,7.39,33055.20313,148.401825,,,475.279999,40.556664,8.253332,31647.2793,-19.23056,2.320007
605,0,10,5,,0,0,0,436.799988,47.900002,6.11,33492.00391,135.699371,,,474.240021,42.150002,8.126001,32121.52148,-26.966217,-37.440033
610,0,10,10,,0,0,0,417.600006,48.900002,6.15,33909.60547,132.924332,,,465.760101,43.379997,7.917333,32587.28125,-26.101318,-48.160095
615,0,10,15,,0,0,0,417.600006,50.599998,6.03,34327.20703,128.458496,,,441.840027,44.049995,8.120999,33029.11719,-30.995712,-24.240021
620,0,10,20,,0,0,0,441.600006,52.5,6.360001,34768.80859,123.809525,,,446.720032,44.596668,7.989001,33475.83594,-35.555466,-5.120026
625,0,10,25,,0,0,0,338.399994,52.599998,5.03,35107.20703,123.57415,,,460.640015,44.666672,8.179,33936.48047,-36.520302,-122.240021
630,0,10,30,,0,0,0,386.399994,52.900002,5.55,35493.60547,122.873344,,,462.720062,44.583336,8.203666,34399.20313,-37.175179,-76.320068
635,0,10,35,,0,0,0,540,54.299999,7.329999,36033.60547,119.705345,,,458.000031,44.993336,8.464,34857.19922,-40.773613,81.999969
640,0,10,40,,0,0,0,484.799988,54.900002,6.6,36518.40625,118.397079,,,473.759979,44.653336,9.100001,35330.95313,-43.72493,11.040009
645,0,10,45,,0,0,0,444,54.599998,6.31,36962.40625,119.047623,,,459.759949,44.310001,8.463666,35790.72266,-44.341751,-15.759949
650,0,10,50,,0,0,0,436.799988,54.200001,6.31,37399.20703,119.926201,,,454.799957,43.503338,8.672667,36245.51953,-47.271248,-17.999969
655,0,10,55,,0,0,0,403.200012,55.299999,5.55,37802.40625,117.540688,,,474.95993,43.130001,9.488666,36720.47656,-52.143013,-71.759918
660,0,11,0,,0,0,0,434.399994,55.299999,5.91,38236.80469,117.540688,,,442,43.033333,8.736667,37162.48047,-54.004021,-7.600006
665,0,11,5,,0,0,0,410.399994,55.900002,5.85,38647.20313,116.279068,,,453.52005,43.259998,8.743334,37615.99609,-55.428604,-43.120056
670,0,11,10,,0,0,0,427.200012,54.799999,6.48,39074.40234,118.613144,,,453.119995,43.429993,8.47,38069.125,-51.277481,-25.919983
675,0,11,15,,0,0,0,415.200012,56.099998,5.54,39489.60156,115.864532,,,446.720001,44,8.076333,38515.83594,-49.502869,-31.519989
680,0,11,20,,0,0,0,429.600006,55,6.21,39919.20313,118.181816,,,450.560028,44.303329,8.227,38966.40234,-45.957146,-20.960022
685,0,11,25,,0,0,0,424.799988,55.200001,5.92,40344.00391,117.753624,,,456.240021,44.213326,8.523668,39422.63672,-46.673531,-31.440033
690,0,11,30,,0,0,0,417.600006,55.299999,5.95,40761.60547,117.540688,,,444.720032,44.020004,8.902999,39867.36328,-50.445793,-27.120026
695,0,11,35,,0,0,0,453.600006,55.099998,6.4,41215.20703,117.967339,,,450.560028,44.263332,8.453,40317.91406,-50.524712,3.039978
700,0,11,40,,0,0,0,417.600006,55.400002,5.8,41632.80859,117.328514,,,464.640045,44.043339,8.983334,40782.55859,-54.247856,-47.040039
705,0,11,45,,0,0,0,475.200012,54.400002,7.16,42108.00781,119.485291,,,450.319946,43.713329,8.898667,41232.87891,-54.660492,24.880066
710,0,11,50,,0,0,0,513.599976,54.599998,7.43,42621.60938,119.047623,,,444.639984,43.533333,8.969666,41677.51953,-58.010086,68.959991
715,0,11,55,,0,0,0,403.200012,54.200001,6,43024.80859,119.926201,,,425.519989,43.200001,8.853999,42103.04297,-60.988564,-22.319977
720,0,12,0,,0,0,0,451.200012,54.5,6.28,43476.00781,119.266052,,,425.279968,42.693336,9.575666,42528.31641,-68.167572,25.920044
725,0,12,5,,0,0,0,441.600006,55,6.07,43917.60938,118.181816,,,426.159943,42.203331,9.044335,42954.48047,-74.094994,15.440063
730,0,12,10,,0,0,0,436.799988,54.599998,6.23,44354.41016,119.047623,,,428.880035,42.170006,9.268001,43383.36719,-76.960541,7.919952
735,0,12,15,,0,0,0,439.200012,55.799999,6.07,44793.60938,116.487457,,,433.040039,41.75333,9.713334,43816.40234,-82.796753,6.159973
740,0,12,20,,0,0,0,451.200012,55,6.48,45244.80859,118.181816,,,425.199982,41.606667,9.489667,44241.59766,-83.072029,26.000031
745,0,12,25,,0,0,0,436.799988,55.5,6.04,45681.60938,117.117119,,,435.679993,41.409996,9.67,44677.27734,-85.929893,1.119995
750,0,12,30,,0,0,0,472.799988,54.400002,6.96,46154.41016,119.485291,,,431.359955,41.353336,9.039334,45108.64063,-82.610123,41.440033
755,0,12,35,,0,0,0,386.399994,54.700001,5.42,46540.80859,118.829979,,,453.600037,41.163338,9.596998,45562.23828,-81.592613,-67.200043
760,0,12,40,,0,0,0,477.600006,54.799999,6.539999,47018.41016,118.613144,,,451.119995,40.793331,9.584667,46013.36328,-80.199783,26.480011
765,0,12,45,,0,0,0,504,54.900002,7.06,47522.41016,118.397079,,,452.079987,40.996662,9.235001,46465.44141,-78.206955,51.920013
770,0,12,50,,0,0,0,480,55.5,6.72,48002.41016,117.117119,,,462.080048,40.850002,10.071668,46927.51953,-80.171989,17.919952
775,0,12,55,,0,0,0,448.799988,55.200001,6.33,48451.21094,117.753624,,,450.720001,41.556667,10.097332,47378.23828,-77.754173,-1.920013
780,0,13,0,,0,0,0,420,55.5,5.68,48871.21094,117.117119,,,436.480011,40.806664,10.180333,47814.72266,-81.779915,-16.480011
785,0,13,5,,0,0,0,444,55.599998,6.35,49315.21094,116.906479,,,440.320007,40.433338,9.667665,48255.04297,-81.943771,3.679993
790,0,13,10,,0,0,0,424.799988,54.900002,6.03,49740.01172,118.397079,,,429.920013,39.776669,9.698668,48684.95703,-80.234039,-5.120026
795,0,13,15,,0,0,0,448.799988,54.5,6.57,50188.8125,119.266052,,,455.440002,39.526665,10.635,49140.40234,-80.421478,-6.640015
800,0,13,20,,0,0,0,477.600006,54.599998,6.85,50666.41406,119.047623,,,444.240021,39.253342,10.470998,49584.64063,-84.755432,33.359985
805,0,13,25,,0,0,0,458.399994,54.200001,6.539999,51124.8125,119.926201,,,445.040009,38.730003,10.510333,50029.67578,-87.087502,13.359985
810,0,13,30,,0,0,0,480,53.5,7.24,51604.8125,121.495331,,,448.720062,38.263332,10.444665,50478.39844,-86.598129,31.279938
815,0,13,35,,0,0,0,448.799988,52.900002,6.5,52053.61328,122.873344,,,459.599945,37.783325,10.947335,50938,-86.412163,-10.799957
820,0,13,40,,0,0,0,513.599976,54,7.16,52567.21484,120.370369,,,465.360016,37.543335,11.074334,51403.35547,-90.706383,48.23996
825,0,13,45,,0,0,0,456,54.700001,6.23,53023.21484,118.829979,,,438.240021,36.843334,10.984666,51841.58984,-97.656929,17.759979
830,0,13,50,,0,0,0,448.799988,55.5,5.99,53472.01563,117.117119,,,445.120087,36.136665,11.895,52286.72656,-104.147789,3.679901
835,0,13,55,,0,0,0,417.600006,55.700001,5.73,53889.61719,116.696587,,,426.799988,35.73,11.428667,52713.52344,-107.788216,-9.199982
840,0,14,0,,0,0,0,420,55.799999,5.68,54309.61719,116.487457,,,429.040009,35.286671,11.679001,53142.55859,-111.514404,-9.040009
845,0,14,5,,0,0,0,441.600006,57.200001,5.79,54751.21875,113.63636,,,432.080017,35.479996,11.386666,53574.64453,-116.9132,9.519989
850,0,14,10,,0,0,0,504,55.799999,7.3,55255.21875,116.487457,,,454.079987,35.713333,11.381,54028.71484,-112.625565,49.920013
855,0,14,15,,0,0,0,513.599976,54.799999,7.53,55768.82031,118.613144,,,452.160065,35.509998,11.924333,54480.875,-113.410461,61.439911
860,0,14,20,,0,0,0,482.399994,54.900002,6.65,56251.21875,118.397079,,,444.960022,35.01667,11.999665,54925.83594,-115.816895,37.439972
865,0,14,25,,0,0,0,439.200012,55.299999,6.11,56690.41797,117.540688,,,443.0401,34.186668,12.998666,55368.88281,-122.645592,-3.840088
870,0,14,30,,0,0,0,480,54.900002,6.8,57170.41797,118.397079,,,451.040039,33.353336,13.017335,55819.91797,-125.350204,28.959961
875,0,14,35,,0,0,0,513.599976,54.900002,7.29,57684.01953,118.397079,,,443.680023,32.363331,13.210334,56263.58984,-130.9758,69.919952
880,0,14,40,,0,0,0,441.600006,54.700001,6.23,58125.62109,118.829979,,,430.799988,31.666666,12.887334,56694.39063,-135.526085,10.800018
885,0,14,45,,0,0,0,501.600006,54.799999,7.04,58627.22266,118.613144,,,434.319977,30.460003,14.525666,57128.71484,-147.121658,67.280029
890,0,14,50,,0,0,0,456,55,6.2,59083.22266,118.181816,,,448.799988,29.240004,14.984668,57577.51563,-153.6399,7.200012
895,0,14,55,,0,0,0,415.200012,54.599998,5.86,59498.42188,119.047623,,,429.440002,28.049995,15.140669,58006.95703,-162.656265,-14.23999
900,0,15,0,,0,0,0,429.600006,55.400002,5.66,59928.02344,117.328514,,,409.919952,27.359999,13.914,58416.875,-168.571358,19.680054
905,0,15,5,,0,0,0,417.600006,54.599998,6.03,60345.625,119.047623,,,414.960052,27.109997,13.673,58831.84766,-167.08876,2.639954
910,0,15,10,,0,0,0,480,54.299999,6.83,60825.625,119.705345,,,423.439972,26.959999,13.578999,59255.27344,-163.463326,56.560028
915,0,15,15,,0,0,0,482.399994,54.900002,6.67,61308.02344,118.397079,,,417.920013,26.443335,14.418001,59673.19531,-165.053482,64.47998
920,0,15,20,,0,0,0,472.799988,55.099998,6.49,61780.82422,117.967339,,,426.880005,26.523338,13.957333,60100.07813,-163.417122,45.919983
925,0,15,25,,0,0,0,393.600006,55.599998,5.24,62174.42578,116.906479,,,413.840027,26.556665,13.542665,60513.92188,-162.413651,-20.240021
930,0,15,30,,0,0,0,477.600006,53.900002,7.25,62652.02734,120.593689,,,427.600006,26.986668,12.689668,60941.51563,-150.759186,50
935,0,15,35,,0,0,0,470.399994,52.200001,7.28,63122.42578,124.521072,,,423.039978,27.253334,13.166999,61364.5625,-143.370621,47.360016
940,0,15,40,,0,0,0,492,51.400002,7.59,63614.42578,126.459137,,,415.440033,27.146669,13.856665,61779.99609,-142.507355,76.559967
945,0,15,45,,0,0,0,436.799988,46.900002,8.99,64051.22656,138.592743,,,419.600006,26.923336,14.155667,62199.60156,-132.214752,17.199982
