agent_id,o_zone_id,d_zone_id,path_id,o_node_id,d_node_id,agent_type,demand_period,volume,cost,travel_time,distance,diff,relative_diff,switched_volume,node_sequence,link_sequence,time_sequence,time_decimal_sequence
25,1,15,1,1,15,p,AM,500,0,38.5,24,0,0,0,1;3;4;5;9;10;15;,2;6;9;13;25;28;,0830;0834;0838;0840;0850;0855;0908;,510.00;514.01;518.35;520.72;530.11;535.76;548.53;
26,1,15,0,1,15,p,AM,0,0,40.4,23,1.8434,0,0,1;3;4;11;14;15;,2;6;10;34;41;,0830;0834;0838;0845;0858;0910;,510.00;514.01;518.35;525.48;538.25;550.37;
27,1,15,2,1,15,p,AM,0,0,46.6,23,8.0798,0,0,1;3;12;11;14;15;,2;7;36;34;41;,0830;0834;0838;0851;0904;0916;,510.00;514.01;518.03;531.72;544.49;556.61;
28,1,16,0,1,16,p,AM,475,0,39.6,18,0.0002,0.0018,0,1;2;6;8;16;,1;4;16;22;,0830;0836;0842;0858;0909;,510.00;516.00;522.12;538.35;549.65;
29,1,16,2,1,16,p,AM,0,0,48.1,22,8.4381,0,0,1;3;4;5;9;10;16;,2;6;9;13;25;29;,0830;0834;0838;0840;0850;0855;0918;,510.00;514.01;518.35;520.72;530.11;535.76;558.08;
30,1,16,3,1,16,p,AM,25,0,39.6,21,0,0,0,1;2;6;8;7;18;16;,1;4;16;20;18;55;,0830;0836;0842;0858;0904;0906;0909;,510.00;516.00;522.12;538.35;544.34;546.41;549.65;
31,1,16,1,1,16,p,AM,0,0,47.7,33,8.0229,0,0,1;3;4;5;9;8;7;18;16;,2;6;9;13;24;20;18;55;,0830;0834;0838;0840;0850;0906;0912;0914;0917;,510.00;514.01;518.35;520.72;530.11;546.38;552.37;554.43;557.67;
32,1,17,2,1,17,p,AM,0,0,43.9,27,1.7821,0,0,1;3;4;11;10;17;,2;6;10;32;30;,0830;0834;0838;0845;0857;0913;,510.00;514.01;518.35;525.48;537.54;553.85;
33,1,17,1,1,17,p,AM,400,0,42.1,26,0,0,0,1;3;4;5;9;10;17;,2;6;9;13;25;30;,0830;0834;0838;0840;0850;0855;0912;,510.00;514.01;518.35;520.72;530.11;535.76;552.07;
34,1,17,0,1,17,p,AM,0,0,47.6,20,5.549,0,0,1;2;6;8;16;17;,1;4;16;22;49;,0830;0836;0842;0858;0909;0917;,510.00;516.00;522.12;538.35;549.65;557.62;
35,1,18,0,1,18,p,AM,100,0,36.4,18,0,0,0,1;2;6;8;7;18;,1;4;16;20;18;,0830;0836;0842;0858;0904;0906;,510.00;516.00;522.12;538.35;544.34;546.41;
36,1,18,2,1,18,p,AM,0,0,44.4,21,8.0228,0,0,1;3;4;5;6;8;7;18;,2;6;9;12;16;20;18;,0830;0834;0838;0840;0850;0906;0912;0914;,510.00;514.01;518.35;520.72;530.14;546.38;552.37;554.43;
37,1,18,1,1,18,p,AM,0,0,44.4,30,8.0229,0,0,1;3;4;5;9;8;7;18;,2;6;9;13;24;20;18;,0830;0834;0838;0840;0850;0906;0912;0914;,510.00;514.01;518.35;520.72;530.11;546.38;552.37;554.43;
38,1,19,1,1,19,p,AM,300,0,42.5,27,0,0,0,1;3;4;5;9;10;15;19;,2;6;9;13;25;28;45;,0830;0834;0838;0840;0850;0855;0908;0912;,510.00;514.01;518.35;520.72;530.11;535.76;548.53;552.54;
39,1,19,4,1,19,p,AM,0,0,44.4,26,1.8434,0,0,1;3;4;11;14;15;19;,2;6;10;34;41;45;,0830;0834;0838;0845;0858;0910;0914;,510.00;514.01;518.35;525.48;538.25;550.37;554.38;
40,1,19,0,1,19,p,AM,0,0,55.1,22,12.5931,0,0,1;2;6;8;16;17;19;,1;4;16;22;49;53;,0830;0836;0842;0858;0909;0917;0925;,510.00;516.00;522.12;538.35;549.65;557.62;565.13;
41,1,19,2,1,19,p,AM,0,0,50.6,26,8.0798,0,0,1;3;12;11;14;15;19;,2;7;36;34;41;45;,0830;0834;0838;0851;0904;0916;0920;,510.00;514.01;518.03;531.72;544.49;556.61;560.62;
42,1,19,3,1,19,p,AM,0,0,48.8,26,6.2326,0,0,1;2;6;8;7;18;20;19;,1;4;16;20;18;56;61;,0830;0836;0842;0858;0904;0906;0910;0918;,510.00;516.00;522.12;538.35;544.34;546.41;550.76;558.77;
43,1,20,0,1,20,p,AM,300,0,40.8,22,0,0,0,1;2;6;8;7;18;20;,1;4;16;20;18;56;,0830;0836;0842;0858;0904;0906;0910;,510.00;516.00;522.12;538.35;544.34;546.41;550.76;
44,1,20,2,1,20,p,AM,0,0,48.8,25,8.0228,0,0,1;3;4;5;6;8;7;18;20;,2;6;9;12;16;20;18;56;,0830;0834;0838;0840;0850;0906;0912;0914;0918;,510.00;514.01;518.35;520.72;530.14;546.38;552.37;554.43;558.78;
45,1,20,1,1,20,p,AM,0,0,50.4,31,9.6575,0,0,1;3;4;5;9;10;15;19;20;,2;6;9;13;25;28;45;59;,0830;0834;0838;0840;0850;0855;0908;0912;0920;,510.00;514.01;518.35;520.72;530.11;535.76;548.53;552.54;560.42;
46,1,21,0,1,21,p,AM,100,0,39.9,18,0,0,0,1;3;12;13;24;21;,2;7;37;39;75;,0830;0834;0838;0841;0858;0909;,510.00;514.01;518.03;521.06;538.13;549.93;
47,1,21,1,1,21,p,AM,0,0,58.8,37,18.8761,0,0,1;3;4;5;9;10;15;19;20;21;,2;6;9;13;25;28;45;59;62;,0830;0834;0838;0840;0850;0855;0908;0912;0920;0928;,510.00;514.01;518.35;520.72;530.11;535.76;548.53;552.54;560.42;568.81;
48,1,22,2,1,22,p,AM,0,0,55.3,26,11.4722,0,0,1;3;12;11;14;15;22;,2;7;36;34;41;46;,0830;0834;0838;0851;0904;0916;0925;,510.00;514.01;518.03;531.72;544.49;556.61;565.34;
49,1,22,3,1,22,p,AM,0,0,48.5,27,4.6045,0,0,1;2;6;8;7;18;20;22;,1;4;16;20;18;56;63;,0830;0836;0842;0858;0904;0906;0910;0918;,510.00;516.00;522.12;538.35;544.34;546.41;550.76;558.47;
50,1,22,0,1,22,p,AM,241.7,0,43.9,20,0,0.0001,0,1;3;12;13;24;21;22;,2;7;37;39;75;65;,0830;0834;0838;0841;0858;0909;0913;,510.00;514.01;518.03;521.06;538.13;549.93;553.87;
51,1,22,1,1,22,p,AM,158.3,0,43.9,21,0,0.0001,0,1;3;12;13;24;23;22;,2;7;37;39;76;72;,0830;0834;0838;0841;0858;0901;0913;,510.00;514.01;518.03;521.06;538.13;541.73;553.87;
52,1,23,1,1,23,p,AM,0,0,43.2,22,11.4834,0,0,1;3;12;11;14;23;,2;7;36;34;42;,0830;0834;0838;0851;0904;0913;,510.00;514.01;518.03;531.72;544.49;553.21;
53,1,23,0,1,23,p,AM,300,0,31.7,17,0,0,0,1;3;12;13;24;23;,2;7;37;39;76;,0830;0834;0838;0841;0858;0901;,510.00;514.01;518.03;521.06;538.13;541.73;
54,1,24,0,1,24,p,AM,100,0,28.1,15,0,0,0,1;3;12;13;24;,2;7;37;39;,0830;0834;0838;0841;0858;,510.00;514.01;518.03;521.06;538.13;
55,2,1,0,2,1,p,AM,100,0,6,6,0,0,0,2;1;,3;,0830;0836;,510.00;516.00;
56,2,3,0,2,3,p,AM,100,0,10,10,0,0,0,2;1;3;,3;2;,0830;0836;0840;,510.00;516.00;520.01;
57,2,4,1,2,4,p,AM,200,0,14.3,14,0,0,0,2;1;3;4;,3;2;6;,0830;0836;0840;0844;,510.00;516.00;520.01;524.35;
58,2,4,0,2,4,p,AM,0,0,17.9,11,3.5738,0,0,2;6;5;4;,4;15;11;,0830;0836;0845;0847;,510.00;516.12;525.55;527.92;
59,2,5,0,2,5,p,AM,100,0,15.5,9,0,0,0,2;6;5;,4;15;,0830;0836;0845;,510.00;516.12;525.55;
60,2,6,0,2,6,p,AM,400,0,6.1,5,0,0,0,2;6;,4;,0830;0836;,510.00;516.12;
61,2,7,0,2,7,p,AM,200,0,28.3,10,0,0,0,2;6;8;7;,4;16;20;,0830;0836;0852;0858;,510.00;516.12;532.35;538.34;
62,2,7,1,2,7,p,AM,0,0,48.4,34,20.0256,0,0,2;1;3;4;5;9;8;7;,3;2;6;9;13;24;20;,0830;0836;0840;0844;0846;0856;0912;0918;,510.00;516.00;520.01;524.35;526.72;536.11;552.38;558.37;
63,2,8,0,2,8,p,AM,400,0,22.4,7,0,0,0,2;6;8;,4;16;,0830;0836;0852;,510.00;516.12;532.35;
64,2,8,1,2,8,p,AM,0,0,42.4,31,20.0256,0,0,2;1;3;4;5;9;8;,3;2;6;9;13;24;,0830;0836;0840;0844;0846;0856;0912;,510.00;516.00;520.01;524.35;526.72;536.11;552.38;
65,2,9,0,2,9,p,AM,200,0,24.9,14,0,0,0,2;6;5;9;,4;15;13;,0830;0836;0845;0854;,510.00;516.12;525.55;534.94;
66,2,10,3,2,10,p,AM,0,0,33.5,25,1.7821,0,0,2;1;3;4;11;10;,3;2;6;10;32;,0830;0836;0840;0844;0851;0903;,510.00;516.00;520.01;524.35;531.48;543.55;
67,2,10,1,2,10,p,AM,600,0,31.8,24,0,0,0,2;1;3;4;5;9;10;,3;2;6;9;13;25;,0830;0836;0840;0844;0846;0856;0901;,510.00;516.00;520.01;524.35;526.72;536.11;541.76;
68,2,10,2,2,10,p,AM,0,0,39.8,25,8.0186,0,0,2;1;3;12;11;10;,3;2;7;36;32;,0830;0836;0840;0844;0857;0909;,510.00;516.00;520.01;524.04;537.72;549.78;
69,2,10,0,2,10,p,AM,0,0,55.9,16,24.1583,0,0,2;6;8;16;10;,4;16;22;48;,0830;0836;0852;0903;0925;,510.00;516.12;532.35;543.64;565.92;
70,2,11,1,2,11,p,AM,200,0,21.5,20,0,0,0,2;1;3;4;11;,3;2;6;10;,0830;0836;0840;0844;0851;,510.00;516.00;520.01;524.35;531.48;
71,2,11,0,2,11,p,AM,0,0,25.1,17,3.5738,0,0,2;6;5;4;11;,4;15;11;10;,0830;0836;0845;0847;0855;,510.00;516.12;525.55;527.92;535.05;
72,2,11,2,2,11,p,AM,0,0,27.7,20,6.2365,0,0,2;1;3;12;11;,3;2;7;36;,0830;0836;0840;0844;0857;,510.00;516.00;520.01;524.04;537.72;
73,2,12,0,2,12,p,AM,100,0,14,14,0,0,0,2;1;3;12;,3;2;7;,0830;0836;0840;0844;,510.00;516.00;520.01;524.04;
74,2,13,0,2,13,p,AM,300,0,17.1,17,0,0,0,2;1;3;12;13;,3;2;7;37;,0830;0836;0840;0844;0847;,510.00;516.00;520.01;524.04;527.06;
75,2,14,3,2,14,p,AM,100,0,34.3,24,0,0,0,2;1;3;4;11;14;,3;2;6;10;34;,0830;0836;0840;0844;0851;0904;,510.00;516.00;520.01;524.35;531.48;544.26;
76,2,14,0,2,14,p,AM,0,0,37.8,21,3.5738,0,0,2;6;5;4;11;14;,4;15;11;10;34;,0830;0836;0845;0847;0855;0907;,510.00;516.12;525.55;527.92;535.05;547.83;
77,2,14,2,2,14,p,AM,0,0,40.5,24,6.2365,0,0,2;1;3;12;11;14;,3;2;7;36;34;,0830;0836;0840;0844;0857;0910;,510.00;516.00;520.01;524.04;537.72;550.49;
78,2,14,1,2,14,p,AM,0,0,46.4,27,12.1882,0,0,2;1;3;12;13;24;23;14;,3;2;7;37;39;76;71;,0830;0836;0840;0844;0847;0904;0907;0916;,510.00;516.00;520.01;524.04;527.06;544.13;547.73;556.44;
79,2,15,1,2,15,p,AM,100,0,44.5,30,1.2669,2.8822,0.9607,2;1;3;4;5;9;10;15;,3;2;6;9;13;25;28;,0830;0836;0840;0844;0846;0856;0901;0914;,510.00;516.00;520.01;524.35;526.72;536.11;541.76;554.53;
80,2,15,4,2,15,p,AM,0,0,46.4,29,1.8434,0,0,2;1;3;4;11;14;15;,3;2;6;10;34;41;,0830;0836;0840;0844;0851;0904;0916;,510.00;516.00;520.01;524.35;531.48;544.26;556.37;
81,2,15,2,2,15,p,AM,0,0,52.6,29,8.0798,0,0,2;1;3;12;11;14;15;,3;2;7;36;34;41;,0830;0836;0840;0844;0857;0910;0922;,510.00;516.00;520.01;524.04;537.72;550.49;562.61;
82,2,15,0,2,15,p,AM,0,0,53.2,19,8.6219,0,0,2;6;8;16;17;19;15;,4;16;22;49;53;57;,0830;0836;0852;0903;0911;0919;0923;,510.00;516.12;532.35;543.64;551.62;559.13;563.15;
83,2,15,3,2,15,p,AM,0,0,46.8,23,2.2614,0,0,2;6;8;7;18;20;19;15;,4;16;20;18;56;61;57;,0830;0836;0852;0858;0900;0904;0912;0916;,510.00;516.12;532.35;538.34;540.41;544.76;552.77;556.79;
84,2,16,0,2,16,p,AM,370,0,33.6,12,0.0002,0.0017,0,2;6;8;16;,4;16;22;,0830;0836;0852;0903;,510.00;516.12;532.35;543.64;
85,2,16,2,2,16,p,AM,30,0,33.6,15,0,0,0,2;6;8;7;18;16;,4;16;20;18;55;,0830;0836;0852;0858;0900;0903;,510.00;516.12;532.35;538.34;540.41;543.64;
86,2,16,1,2,16,p,AM,0,0,53.7,39,20.0256,0,0,2;1;3;4;5;9;8;7;18;16;,3;2;6;9;13;24;20;18;55;,0830;0836;0840;0844;0846;0856;0912;0918;0920;0923;,510.00;516.00;520.01;524.35;526.72;536.11;552.38;558.37;560.43;563.67;
87,2,17,1,2,17,p,AM,0,0,48.1,32,6.4538,0,0,2;1;3;4;5;9;10;17;,3;2;6;9;13;25;30;,0830;0836;0840;0844;0846;0856;0901;0918;,510.00;516.00;520.01;524.35;526.72;536.11;541.76;558.07;
88,2,17,0,2,17,p,AM,190,0,41.6,14,0.0002,0.0007,0,2;6;8;16;17;,4;16;22;49;,0830;0836;0852;0903;0911;,510.00;516.12;532.35;543.64;551.62;
89,2,17,2,2,17,p,AM,10,0,41.6,17,0,0,0,2;6;8;7;18;16;17;,4;16;20;18;55;49;,0830;0836;0852;0858;0900;0903;0911;,510.00;516.12;532.35;538.34;540.41;543.64;551.62;
90,2,19,1,2,19,p,AM,0,0,48.5,33,5.7701,0,0,2;1;3;4;5;9;10;15;19;,3;2;6;9;13;25;28;45;,0830;0836;0840;0844;0846;0856;0901;0914;0918;,510.00;516.00;520.01;524.35;526.72;536.11;541.76;554.53;558.54;
91,2,19,0,2,19,p,AM,0,0,49.1,16,6.3605,0,0,2;6;8;16;17;19;,4;16;22;49;53;,0830;0836;0852;0903;0911;0919;,510.00;516.12;532.35;543.64;551.62;559.13;
92,2,19,2,2,19,p,AM,100,0,42.8,20,0,0,0,2;6;8;7;18;20;19;,4;16;20;18;56;61;,0830;0836;0852;0858;0900;0904;0912;,510.00;516.12;532.35;538.34;540.41;544.76;552.77;
93,2,20,0,2,20,p,AM,100,0,34.8,16,0,0,0,2;6;8;7;18;20;,4;16;20;18;56;,0830;0836;0852;0858;0900;0904;,510.00;516.12;532.35;538.34;540.41;544.76;
94,2,20,1,2,20,p,AM,0,0,56.4,37,21.6602,0,0,2;1;3;4;5;9;10;15;19;20;,3;2;6;9;13;25;28;45;59;,0830;0836;0840;0844;0846;0856;0901;0914;0918;0926;,510.00;516.00;520.01;524.35;526.72;536.11;541.76;554.53;558.54;566.42;
95,2,22,0,2,22,p,AM,100,0,42.5,21,0,0,0,2;6;8;7;18;20;22;,4;16;20;18;56;63;,0830;0836;0852;0858;0900;0904;0912;,510.00;516.12;532.35;538.34;540.41;544.76;552.47;
96,2,22,3,2,22,p,AM,0,0,49.9,26,7.3982,0,0,2;1;3;12;13;24;21;22;,3;2;7;37;39;75;65;,0830;0836;0840;0844;0847;0904;0915;0919;,510.00;516.00;520.01;524.04;527.06;544.13;555.93;559.87;
97,2,22,1,2,22,p,AM,0,0,49.9,27,7.3982,0,0,2;1;3;12;13;24;23;22;,3;2;7;37;39;76;72;,0830;0836;0840;0844;0847;0904;0907;0919;,510.00;516.00;520.01;524.04;527.06;544.13;547.73;559.87;
98,2,22,2,2,22,p,AM,0,0,47.1,24,4.6141,0,0,2;6;8;7;18;20;21;22;,4;16;20;18;56;62;65;,0830;0836;0852;0858;0900;0904;0913;0917;,510.00;516.12;532.35;538.34;540.41;544.76;553.15;557.09;
99,3,1,0,3,1,p,AM,100,0,4,4,0,0,0,3;1;,5;,0830;0834;,510.00;514.01;
100,3,2,0,3,2,p,AM,100,0,10,10,0,0,0,3;1;2;,5;1;,0830;0834;0840;,510.00;514.01;520.01;
101,3,4,0,3,4,p,AM,200,0,4.3,4,0,0,0,3;4;,6;,0830;0834;,510.00;514.33;
102,3,5,0,3,5,p,AM,100,0,6.7,6,0,0,0,3;4;5;,6;9;,0830;0834;0836;,510.00;514.33;516.71;
103,3,6,1,3,6,p,AM,75.8,0,16.1,15,0,0.0001,0,3;1;2;6;,5;1;4;,0830;0834;0840;0846;,510.00;514.01;520.01;526.13;
104,3,6,0,3,6,p,AM,224.2,0,16.1,10,0,0.0002,0,3;4;5;6;,6;9;12;,0830;0834;0836;0846;,510.00;514.33;516.71;526.13;
105,3,7,2,3,7,p,AM,20.4,0,38.4,20,0,0,0,3;1;2;6;8;7;,5;1;4;16;20;,0830;0834;0840;0846;0902;0908;,510.00;514.01;520.01;526.13;542.37;548.36;
106,3,7,0,3,7,p,AM,63.3,0,38.4,15,0,0,0,3;4;5;6;8;7;,6;9;12;16;20;,0830;0834;0836;0846;0902;0908;,510.00;514.33;516.71;526.13;542.37;548.36;
107,3,7,1,3,7,p,AM,16.3,0,38.4,24,0,0,0,3;4;5;9;8;7;,6;9;13;24;20;,0830;0834;0836;0846;0902;0908;,510.00;514.33;516.71;526.10;542.37;548.36;
108,3,8,2,3,8,p,AM,40.1,0,32.4,17,0,0.0001,0,3;1;2;6;8;,5;1;4;16;,0830;0834;0840;0846;0902;,510.00;514.01;520.01;526.13;542.37;
109,3,8,0,3,8,p,AM,128.7,0,32.4,12,0,0,0,3;4;5;6;8;,6;9;12;16;,0830;0834;0836;0846;0902;,510.00;514.33;516.71;526.13;542.37;
110,3,8,1,3,8,p,AM,31.2,0,32.4,21,0,0,0,3;4;5;9;8;,6;9;13;24;,0830;0834;0836;0846;0902;,510.00;514.33;516.71;526.10;542.37;
111,3,9,0,3,9,p,AM,100,0,16.1,11,0,0,0,3;4;5;9;,6;9;13;,0830;0834;0836;0846;,510.00;514.33;516.71;526.10;
112,3,9,1,3,9,p,AM,0,0,35.5,18,19.3663,0,0,3;12;11;10;9;,7;36;32;26;,0830;0834;0847;0859;0905;,510.00;514.02;527.70;539.77;545.46;
113,3,10,2,3,10,p,AM,0,0,23.5,15,1.7821,0,0,3;4;11;10;,6;10;32;,0830;0834;0841;0853;,510.00;514.33;521.47;533.53;
114,3,10,0,3,10,p,AM,300,0,21.8,14,0,0,0,3;4;5;9;10;,6;9;13;25;,0830;0834;0836;0846;0851;,510.00;514.33;516.71;526.10;531.75;
115,3,10,1,3,10,p,AM,0,0,29.8,15,8.0186,0,0,3;12;11;10;,7;36;32;,0830;0834;0847;0859;,510.00;514.02;527.70;539.77;
116,3,11,0,3,11,p,AM,300,0,11.5,10,0,0,0,3;4;11;,6;10;,0830;0834;0841;,510.00;514.33;521.47;
117,3,11,1,3,11,p,AM,0,0,17.7,10,6.2365,0,0,3;12;11;,7;36;,0830;0834;0847;,510.00;514.02;527.70;
118,3,12,0,3,12,p,AM,200,0,4,4,0,0,0,3;12;,7;,0830;0834;,510.00;514.02;
119,3,13,0,3,13,p,AM,100,0,7,7,0,0,0,3;12;13;,7;37;,0830;0834;0837;,510.00;514.02;517.05;
120,3,14,0,3,14,p,AM,100,0,24.2,14,0,0,0,3;4;11;14;,6;10;34;,0830;0834;0841;0854;,510.00;514.33;521.47;534.24;
121,3,14,2,3,14,p,AM,0,0,30.5,14,6.2365,0,0,3;12;11;14;,7;36;34;,0830;0834;0847;0900;,510.00;514.02;527.70;540.48;
122,3,14,1,3,14,p,AM,0,0,36.4,17,12.1882,0,0,3;12;13;24;23;14;,7;37;39;76;71;,0830;0834;0837;0854;0857;0906;,510.00;514.02;517.05;534.12;537.72;546.43;
123,3,15,1,3,15,p,AM,100,0,34.5,20,0,0,0,3;4;5;9;10;15;,6;9;13;25;28;,0830;0834;0836;0846;0851;0904;,510.00;514.33;516.71;526.10;531.75;544.52;
124,3,15,0,3,15,p,AM,0,0,36.4,19,1.8434,0,0,3;4;11;14;15;,6;10;34;41;,0830;0834;0841;0854;0906;,510.00;514.33;521.47;534.24;546.36;
125,3,15,2,3,15,p,AM,0,0,42.6,19,8.0798,0,0,3;12;11;14;15;,7;36;34;41;,0830;0834;0847;0900;0912;,510.00;514.02;527.70;540.48;552.60;
126,3,16,2,3,16,p,AM,40.8,0,43.7,22,0.0001,0.0001,0,3;1;2;6;8;16;,5;1;4;16;22;,0830;0834;0840;0846;0902;0913;,510.00;514.01;520.01;526.13;542.37;553.66;
127,3,16,0,3,16,p,AM,132,0,43.7,17,0.0001,0.0004,0,3;4;5;6;8;16;,6;9;12;16;22;,0830;0834;0836;0846;0902;0913;,510.00;514.33;516.71;526.13;542.37;553.66;
128,3,16,4,3,16,p,AM,17.5,0,43.7,26,0.0002,0.0001,0,3;4;5;9;8;16;,6;9;13;24;22;,0830;0834;0836;0846;0902;0913;,510.00;514.33;516.71;526.10;542.37;553.66;
129,3,16,3,3,16,p,AM,0,0,44.1,18,0.4152,0,0,3;4;5;9;10;16;,6;9;13;25;29;,0830;0834;0836;0846;0851;0914;,510.00;514.33;516.71;526.10;531.75;554.07;
130,3,16,1,3,16,p,AM,9.7,0,43.7,29,0,0,0,3;4;5;9;8;7;18;16;,6;9;13;24;20;18;55;,0830;0834;0836;0846;0902;0908;0910;0913;,510.00;514.33;516.71;526.10;542.37;548.36;550.42;553.66;
131,3,17,3,3,17,p,AM,0,0,39.8,23,1.7821,0,0,3;4;11;10;17;,6;10;32;30;,0830;0834;0841;0853;0909;,510.00;514.33;521.47;533.53;549.84;
132,3,17,1,3,17,p,AM,100,0,38.1,22,0,0,0,3;4;5;9;10;17;,6;9;13;25;30;,0830;0834;0836;0846;0851;0908;,510.00;514.33;516.71;526.10;531.75;548.06;
133,3,17,2,3,17,p,AM,0,0,51.6,24,13.5719,0,0,3;1;2;6;8;16;17;,5;1;4;16;22;49;,0830;0834;0840;0846;0902;0913;0921;,510.00;514.01;520.01;526.13;542.37;553.66;561.63;
134,3,17,0,3,17,p,AM,0,0,51.6,19,13.5719,0,0,3;4;5;6;8;16;17;,6;9;12;16;22;49;,0830;0834;0836;0846;0902;0913;0921;,510.00;514.33;516.71;526.13;542.37;553.66;561.63;
135,3,22,2,3,22,p,AM,0,0,51.3,22,11.4722,0,0,3;12;11;14;15;22;,7;36;34;41;46;,0830;0834;0847;0900;0912;0921;,510.00;514.02;527.70;540.48;552.60;561.33;
136,3,22,0,3,22,p,AM,60.5,0,39.9,16,0,0,0,3;12;13;24;21;22;,7;37;39;75;65;,0830;0834;0837;0854;0905;0909;,510.00;514.02;517.05;534.12;545.92;549.86;
137,3,22,1,3,22,p,AM,39.5,0,39.9,17,0,0,0,3;12;13;24;23;22;,7;37;39;76;72;,0830;0834;0837;0854;0857;0909;,510.00;514.02;517.05;534.12;537.72;549.86;
138,3,23,1,3,23,p,AM,0,0,39.2,18,11.4834,0,0,3;12;11;14;23;,7;36;34;42;,0830;0834;0847;0900;0909;,510.00;514.02;527.70;540.48;549.20;
